"age","uk","england","wales","scotland","northern_ireland","east_of_england","london","midlands","north_east_and_yorkshire","north_west","south_east","south_west"
"0",3782330,3239447,161341,263806,117736,381741,595799,604256,471279,408733,492613,285026
"5",4147413,3539458,182178,297903,127874,420164,606333,665701,520817,443053,556974,326416
"10",4045114,3435579,184437,298081,127017,408380,550753,650240,515102,430842,556473,323789
"15",3683680,3115871,173821,282120,111868,351716,474456,610856,481714,395376,498775,302978
"20",4133158,3472522,206557,341755,112324,348645,556594,696063,567629,450746,516902,335943
"25",4476630,3771493,208114,377204,119819,384581,757848,713304,579443,481696,523246,331375
"30",4521975,3824652,196672,374069,126582,416699,822084,688378,553856,475288,532050,336297
"35",4404100,3738209,185873,355666,124352,426645,779934,660316,529824,452349,558420,330721
"40",4091543,3476303,172930,324366,117944,412105,677463,615515,485807,409264,560014,316135
"45",4303967,3638639,192465,349924,122939,433086,598535,673679,535766,444047,599522,354004
"50",4616017,3875351,216970,393113,130583,460141,569938,733313,594218,487071,634056,396614
"55",4510851,3761782,222222,399344,127503,444975,508722,712712,596153,481787,616756,400677
"60",3855818,3196813,197416,352569,109020,378161,405576,603851,526252,410948,517599,354426
"65",3355381,2784300,179955,300433,90693,335555,318142,540497,458083,355984,449454,326585
"70",3363906,2814128,181886,285830,82062,351218,280432,544799,458577,359969,474941,344192
"75",2403759,2009992,131023,198210,64534,248720,196419,401607,317900,253220,342550,249576
"80",3385592,2855599,175726,271607,82660,360486,303460,543471,446586,347074,503477,351045
