"parameter","value"
"s_hosp_D","2"
"gamma_hosp_D","0.291115375275389"
"s_hosp_R","1"
"gamma_hosp_R","0.109204638515258"
"s_triage","1"
"gamma_triage","0.509957901224795"
"s_ICU_D","2"
"gamma_ICU_D","0.291386107435204"
"s_ICU_R","2"
"gamma_ICU_R","0.354142862957898"
"s_stepdown","1"
"gamma_stepdown","0.452381010083587"
"s_R_pre","2"
"gamma_R_pre","0.2"
"s_comm_D", "2"
"gamma_comm_D","0.4"
"gamma_test","0.2857"
