region,carehome_beds
east_of_england,52289
london,35564
midlands,92575
north_east_and_yorkshire,73651
north_west,62488
south_east,86233
south_west,54981
wales,22706
england,457781
scotland,40969
northern_ireland,16065
uk,537521
